NR	Opprettet	Endret	spmFunk	spmHvor	spmTriv	byggestoy1	personstoy1	trafikk1	vifte1	annet1	spmEff	byggestoy2	personstoy2	trafikk2	vifte2	annet2	spmTiltak_1	spmTiltak_2	spmTiltak_3	spmTiltak_4	spmTiltak_5	spmTiltak_6	spmTiltak_7	spmTekst	Svartid
25856179	15.02.2023 17:32	15.02.2023 17:32	stud	real	3	4	5	1	2	3	4	1	5	1	1	3	mNc		flytt						2 minutter 27 sekunder
25864607	16.02.2023 07:49	16.02.2023 07:49	stud	elA	4	5	1	1	3	1	3	3	1	1	2	1	mNc							Har ikke noe forbedring, men problemer har vært noe intens borring i veggene det siste 1,5 årene. Kun det som har vært plagsomt. For så vidt irriterende med noe klimannlegg som bråker mye på grupperommene vi sitter	6 minutter 34 sekunder
25864776	16.02.2023 08:22	16.02.2023 08:22	stud	bygg	4	1	1	1	5	1	4	1	1	1	4	1	mNc								1 minutt 48 sekunder
25864909	16.02.2023 08:29	16.02.2023 08:29	ans	elB	5	5	2	1	1	1	5	5	1	1	1	1	mNc	uNc			ingenting				5 minutter 46 sekunder
25864918	16.02.2023 08:30	16.02.2023 08:30	ansA	elE	5	5	5	3	5	5	5	5	5	3	5	5					ingenting				2 minutter
25864929	16.02.2023 08:31	16.02.2023 08:31	ansA	elE	5	5	5	2	5	5	5	5	5	2	5	5							annet		1 minutt 45 sekunder
25865019	16.02.2023 08:37	16.02.2023 08:37	ans	elB	3	5	1	1	1	1	3	4	1	1	1	1	mNc							Mindre byggeplasser på campus	2 minutter 9 sekunder
25865427	16.02.2023 08:59	16.02.2023 08:59	stud	real	1	2	3	1	1	1	2	1	3	1	1	1	mNc	uNc						Er veldig lytt mellom lesesal demokrit og kontoret som ligger vegg i vegg.	3 minutter 51 sekunder
25865519	16.02.2023 09:06	16.02.2023 09:06	ans	real	1	1	1	1	1	1	1	1	1	1	1	1						paavirk		Nei	1 time 16 minutter 9 sekunder
25865973	16.02.2023 09:29	16.02.2023 09:29	stud	elE	4	5	1	1	1	1	4	3	1	1	1	1	mNc								1 minutt 59 sekunder
25866740	16.02.2023 10:04	16.02.2023 10:04	stud	verk	3	4	3	3	4	4	5	3	1	1	1	1	mNc								1 minutt 12 sekunder
25867181	16.02.2023 10:15	16.02.2023 10:15	ansA	berg	1	1	3	1	2	1	1	1	1	1	1	1	mNc			demp			annet	Jevnlige målinger med dB-utstyr, godt vedlikehold+periodisk bestilt renhold av ventilasjon. Sjekke gamle dører, smøre hengsler+sjekke pakninger.	3 minutter 19 sekunder
25867288	16.02.2023 10:19	16.02.2023 10:19	stud	kjemi5	2	4	2	1	2	1	2	3	2	1	2	1	mNc	uNc	flytt	demp	ingenting			Henge opp støydempendeplater i arealer som er store og åpne	5 minutter 26 sekunder
25867686	16.02.2023 10:36	16.02.2023 10:36	stud	real	4	5	2	1	4	3	4	4	3	1	4	3	mNc		flytt		ingenting				3 minutter 14 sekunder
25868217	16.02.2023 10:59	16.02.2023 10:59	stud	tapir	2	1	4	1	1	1	3	1	4	1	1	1	mNc		flytt						1 minutt 6 sekunder
25868440	16.02.2023 11:07	16.02.2023 11:07	stud	elE	4	4	5	1	1	2	4	4	5	2	1	1	mNc		flytt						54 sekunder
25868614	16.02.2023 11:15	16.02.2023 11:15	stud	verk	4	1	2	2	5	2	3	1	2	1	5	1	mNc							Eg er plaget av støy fra ventilasjonsanlegget på Materialteknisk(ikkje et alternativ over)	4 minutter 1 sekund
25870185	16.02.2023 12:17	16.02.2023 12:17	stud	elE	5	4	4	1	5	3	4	3	4	1	5	3	mNc				ingenting			Glassgården er ufattelig lite lyddempende. Alt av støy reflekteres. Det er alltid mye bråk fra mange ukjente kilder her. Og selv om det ikke er en del av undersøkelsen er det alltid for varmt eller kaldt	3 minutter 19 sekunder
25871554	16.02.2023 13:03	16.02.2023 13:03	stud	kjel	5	3	5	1	2	3	5	5	5	1	1	1	mNc		flytt						58 sekunder
25871655	16.02.2023 13:09	16.02.2023 13:09	stud	elE	4	5	1	1	1	2	3	5	1	1	1	1		uNc	flytt		ingenting				4 minutter 18 sekunder
25871696	16.02.2023 13:12	16.02.2023 13:12	stud	real	3	1	4	1	1	1	2	2	4	2	3	1					ingenting				28 minutter 53 sekunder
25872454	16.02.2023 13:49	16.02.2023 13:49	stud	real	4	2	4	2	2	2	4	2	4	2	1	1	mNc		flytt						1 minutt 33 sekunder
25873753	16.02.2023 14:47	16.02.2023 14:47	stud	gamEl	5	4	2	1	1	2	5	5	2	1	1	1	mNc		flytt		ingenting				3 minutter 33 sekunder
25874092	16.02.2023 15:06	16.02.2023 15:06	stud	sent1	5	2	4	3	3	3	5	3	5	3	4	3	mNc	uNc			ingenting			Plakater med forslag på å være stille	1 minutt 25 sekunder
25876590	16.02.2023 17:49	16.02.2023 17:49	stud	berg	2	1	3	1	1	1	2	1	3	1	1	1	mNc								37 sekunder
25876917	16.02.2023 18:28	16.02.2023 18:28	stud	kjemi1	1	1	2	1	1	1	2	1	2	1	1	1	mNc		flytt						2 minutter
25884293	17.02.2023 09:12	17.02.2023 09:12	stud	gruve	1	1	2	1	1	1	2	1	2	1	1	1		uNc	flytt						6 minutter 32 sekunder
25884375	17.02.2023 09:19	17.02.2023 09:19	stud	varme	4	5	2	2	2	1	4	5	1	1	2	1	mNc				ingenting			Utføre større bygningsarbeid utenom eksamensperioden	3 minutter
25884444	17.02.2023 09:24	17.02.2023 09:24	stud	kjel	4	2	4	1	2	2	3	1	4	2	2	2		uNc			ingenting				2 minutter 28 sekunder
25886794	17.02.2023 11:10	17.02.2023 11:10	stud	varme	5	5	2	1	1	3	5	5	2	1	1	3	mNc	uNc							59 sekunder
25901756	18.02.2023 14:17	18.02.2023 14:17	stud	real	4	1	2	1	5	1	3	1	3	1	4	1		uNc	flytt		ingenting				2 minutter 27 sekunder
25907529	19.02.2023 10:13	19.02.2023 10:13	ans	sent2	2	2	1	1	1	2	1	1	1	1	1	1		uNc			ingenting				1 minutt 37 sekunder
25927790	20.02.2023 10:30	20.02.2023 10:30	ans	elB	4	4	1	1	3	1	4	4	1	1	3	1			flytt					Foreta støyintensiv arbeidsoppgaver utenom kl. 8-16. Varsle byggestøy og varighet. Da kan man flytte arbeidsplass hvis mulig.	5 minutter 44 sekunder
25929093	20.02.2023 11:07	20.02.2023 11:07	stud	elA	5	4	2	3	3	5	5	5	2	3	3	5	mNc		flytt		ingenting				37 minutter 8 sekunder
25932551	20.02.2023 14:02	20.02.2023 14:02	stud	kjel	5	5	1	1	1	1	4	4	1	1	1	1	mNc							Slutt å utføre vedlikeholdsarbeid på lesesalene i eksamensperioden	1 minutt 55 sekunder
25933187	20.02.2023 14:23	20.02.2023 14:23	stud	sent1	3	5	1	1	1	1	3	5	1	1	1	1					ingenting				1 minutt 18 sekunder
25936838	20.02.2023 17:48	20.02.2023 17:48	stud	hoved	1	2	1	1	2	1	1	2	1	1	1	1	mNc				ingenting				1 minutt 10 sekunder
25961111	22.02.2023 09:01	22.02.2023 09:01	stud	sent2	3	4	2	1	4	1	3	4	1	1	3	1	mNc				ingenting				2 minutter 3 sekunder
25961467	22.02.2023 09:20	22.02.2023 09:20	stud	real	2	2	2	1	1	1	2	2	2	1	1	1	mNc								1 minutt 57 sekunder
25961827	22.02.2023 09:41	22.02.2023 09:41	stud	sent1	1	1	1	1	1	1	2	1	2	1	1	1	mNc								3 minutter 26 sekunder
25966320	22.02.2023 12:48	22.02.2023 12:48	stud	hoved	3	2	2	1	2	3	2	1	1	1	1	2	mNc	uNc			ingenting			Spesielt problem med persiennene på Hovedbiblioteket. Hvis de justeres skjeldnere vil det hjelpe	1 minutt 32 sekunder
25971183	22.02.2023 15:52	22.02.2023 15:52	stud	gamEl	5	5	5	1	2	1	5	5	5	1	2	1		uNc	flytt		ingenting				7 minutter 57 sekunder
25973150	22.02.2023 17:36	22.02.2023 17:36	stud	elB	4	4	5	3	5	5	5	5	3	3	5	5	mNc	uNc	flytt		ingenting		annet	Forbedre ventilasjon. Mer dempende tekstiler eller takplater.Brusautomaten...	6 minutter 12 sekunder
25992725	23.02.2023 16:28	23.02.2023 16:28	stud	elE	5	5	4	1	2	1	5	5	5	1	2	1			flytt	demp	ingenting			Redusering av romklang (spesielt i elbygget og hovedbygget). Dedikerte steder for bråk og sosialisering for å skape et skille og en kulturendring. Tusen takk og vær så snill å fiks støyen. Noen ganger vurderer jeg å dra til UIO. Det er helt sant.	6 minutter 36 sekunder
26039922	27.02.2023 11:31	27.02.2023 11:31	ans	gamEl	3	4	1	1	5	1	4	4	2	1	5	1	mNc							Fiks ventilasjon i Gamle Elektro. Den bråker alt for mye.	7 minutter 54 sekunder
26083840	01.03.2023 12:21	01.03.2023 12:21	stud	kjemi1	5	2	5	1	1	1	5	1	5	1	1	1	mNc		flytt						1 minutt 23 sekunder
26090174	01.03.2023 18:06	01.03.2023 18:06	stud	real	1	1	1	1	1	1	1	1	1	1	1	1					ingenting	paavirk			1 minutt 32 sekunder
26198208	07.03.2023 16:31	07.03.2023 16:31	stud	ipd	4	3	1	1	3	4	3	2	3	1	3	4	mNc		flytt		ingenting			Betre akustikk i bygga på NTNU (mindre gjenklang), betre lydisolering av verkstadar, ei betre løysing for varsel om at ei dør med lås står oppe for lenge (i staden for høg og plagsam lyd)	4 minutter 35 sekunder
26214831	08.03.2023 12:34	08.03.2023 12:34	stud	varme	4	5	1	1	3	3	4	5	1	1	3	3	mNc	uNc	flytt						2 minutter 16 sekunder
